A	B	C	D	E	F	G	H	I	RESP
NwlieP	2763.0	646.0	1293.0	1651.0	rIaMwY	FElhOR	MdNHJO	232.0	39.0
WstBYV	1483.0	3507.0	6525.0	66.0	cpWqOw	epcVJK	ZigqKk	3030.0	2298.0
TuCZEm	3276.0	2085.0	3218.0	183.0	epcVJK	wLOZRO	SYnotp	5712.0	2154.0
xuoBel	1193.0	257.0	3096.0	3804.0	MdNHJO	IrOLwQ	TuCZEm	264.0	610.0
JqymVN	332.0	2618.0	2222.0	2790.0	wLOZRO	uHjRAr	MdNHJO	3155.0	7702.0
AWvgct	3348.0	2478.0	1853.0	236.0	TuCZEm	IrOLwQ	TuCZEm	2867.0	6346.0
MdNHJO	1663.0	15.0	186.0	4777.0	FElhOR	DPIKud	rIaMwY	6708.0	1256.0
WstBYV	1383.0	2147.0	5444.0	5131.0	MdNHJO	pfmxrL	ReOawA	5280.0	343.0
MdNHJO	567.0	6048.0	817.0	264.0	uHjRAr	WstBYV	pfmxrL	4382.0	4239.0
eeVQAD	1018.0	1423.0	1081.0	1713.0	StAyqw	gkygIZ	WstBYV	3868.0	2098.0
ReOawA	4512.0	4119.0	2134.0	191.0	DJwYdl	uHjRAr	TuCZEm	3665.0	532.0
rIaMwY	2033.0	656.0	933.0	856.0	AWvgct	OhryCL	TuCZEm	2791.0	4580.0
AWvgct	528.0	242.0	28.0	5032.0	wLOZRO	xuoBel	NwlieP	3460.0	3038.0
WstBYV	188.0	3927.0	4283.0	443.0	ReOawA	MdNHJO	AWvgct	8100.0	2076.0
CBcUxf	9062.0	42.0	1525.0	2161.0	cpWqOw	eeVQAD	JqymVN	2786.0	4049.0
SYnotp	374.0	1779.0	1637.0	1975.0	HEBbwK	MdNHJO	LHTxOM	86.0	1228.0
gkygIZ	127.0	2619.0	632.0	8889.0	MdNHJO	uHjRAr	LHTxOM	3092.0	1349.0
MdNHJO	4242.0	629.0	276.0	6804.0	DPIKud	wLOZRO	eeVQAD	4860.0	1275.0
rIaMwY	58.0	4435.0	88.0	2129.0	pfmxrL	UPpvkc	xuoBel	1851.0	63.0
TuCZEm	1957.0	2779.0	1938.0	2531.0	HEBbwK	xuoBel	CBcUxf	1265.0	1403.0
HEBbwK	4005.0	704.0	3926.0	4047.0	StAyqw	jithza	cpWqOw	2592.0	2244.0
UPpvkc	1300.0	593.0	1882.0	1675.0	NwlieP	xuoBel	MdNHJO	1251.0	400.0
JqymVN	4340.0	1667.0	6254.0	2825.0	eeVQAD	WstBYV	xuoBel	147.0	859.0
epcVJK	3061.0	5599.0	5927.0	60.0	MdNHJO	ZigqKk	WstBYV	1468.0	2281.0
NwlieP	891.0	3398.0	2542.0	1110.0	MdNHJO	MdNHJO	WstBYV	5502.0	1090.0
WstBYV	360.0	688.0	4962.0	3205.0	MdNHJO	uHjRAr	StAyqw	1097.0	5609.0
IrOLwQ	3161.0	650.0	2674.0	4647.0	ReOawA	FElhOR	DPIKud	49.0	487.0
FElhOR	3319.0	101.0	116.0	3409.0	JqymVN	pfmxrL	LHTxOM	5177.0	6581.0
eeVQAD	4249.0	97.0	3054.0	3917.0	IrOLwQ	JqymVN	ReOawA	213.0	316.0
NwlieP	610.0	2613.0	7983.0	440.0	wLOZRO	jithza	LHTxOM	1315.0	2645.0
AWvgct	6233.0	429.0	2425.0	8325.0	DJwYdl	HEBbwK	ZigqKk	656.0	901.0
JqymVN	576.0	1126.0	1497.0	3089.0	UPpvkc	rIaMwY	cpWqOw	2310.0	6729.0
FElhOR	905.0	1397.0	1020.0	1394.0	LHTxOM	JqymVN	AWvgct	3394.0	1046.0
eeVQAD	4572.0	3450.0	1139.0	2016.0	WstBYV	pfmxrL	ZigqKk	3.0	201.0
WstBYV	2362.0	6633.0	3155.0	407.0	FElhOR	rIaMwY	gkygIZ	8115.0	218.0
JqymVN	3278.0	4664.0	6065.0	752.0	JqymVN	rIaMwY	LHTxOM	2857.0	5154.0
SYnotp	1594.0	3604.0	69.0	69.0	WstBYV	KVGcIg	AWvgct	5866.0	5067.0
cpWqOw	1783.0	3193.0	1772.0	2514.0	AWvgct	NwlieP	IrOLwQ	3668.0	5990.0
FElhOR	2316.0	2301.0	106.0	1768.0	ReOawA	JqymVN	ReOawA	2839.0	1349.0
cpWqOw	3076.0	1781.0	8256.0	2623.0	wLOZRO	SYnotp	eeVQAD	750.0	1428.0
jithza	6638.0	3.0	2548.0	229.0	FElhOR	TuCZEm	MdNHJO	2853.0	6781.0
AWvgct	1253.0	6310.0	1857.0	3141.0	HEBbwK	OhryCL	TuCZEm	2372.0	1371.0
gkygIZ	2.0	2008.0	2186.0	7549.0	DJwYdl	pfmxrL	StAyqw	6406.0	358.0
HEBbwK	720.0	1532.0	2769.0	3523.0	UPpvkc	cpWqOw	DPIKud	2537.0	126.0
epcVJK	2913.0	8262.0	8501.0	8092.0	StAyqw	FElhOR	NwlieP	129.0	3229.0
xuoBel	9315.0	3984.0	43.0	5307.0	uHjRAr	IrOLwQ	pfmxrL	249.0	500.0
xuoBel	3291.0	7163.0	7579.0	3848.0	ReOawA	MdNHJO	ZigqKk	138.0	6390.0
JqymVN	1493.0	1506.0	4110.0	1960.0	DPIKud	gkygIZ	jithza	2859.0	4195.0
cpWqOw	745.0	589.0	2903.0	430.0	DJwYdl	HEBbwK	ReOawA	3639.0	77.0
LHTxOM	4261.0	1272.0	4987.0	1357.0	pfmxrL	WstBYV	cpWqOw	778.0	6650.0
WstBYV	2024.0	4008.0	2202.0	348.0	WstBYV	rIaMwY	NwlieP	2022.0	2550.0
SYnotp	6963.0	2566.0	920.0	787.0	SYnotp	wLOZRO	SYnotp	5081.0	1627.0
IrOLwQ	2129.0	1241.0	350.0	4394.0	FElhOR	wLOZRO	uHjRAr	174.0	3330.0
ZigqKk	2194.0	6039.0	443.0	1345.0	MdNHJO	wLOZRO	NwlieP	286.0	5946.0
HEBbwK	2310.0	1943.0	1002.0	1048.0	CBcUxf	NwlieP	rIaMwY	292.0	5038.0
ReOawA	2053.0	5927.0	4821.0	176.0	DPIKud	CBcUxf	MdNHJO	614.0	2956.0
xuoBel	2240.0	250.0	787.0	65.0	AWvgct	wLOZRO	SYnotp	1198.0	5554.0
epcVJK	4295.0	1247.0	996.0	76.0	IrOLwQ	StAyqw	IrOLwQ	1178.0	3162.0
wLOZRO	948.0	16.0	3262.0	152.0	cpWqOw	DJwYdl	OhryCL	2918.0	1065.0
IrOLwQ	150.0	5321.0	377.0	1019.0	gkygIZ	LHTxOM	LHTxOM	5744.0	1907.0
FElhOR	3058.0	2963.0	2393.0	1506.0	rIaMwY	rIaMwY	wLOZRO	444.0	114.0
WstBYV	3813.0	249.0	7.0	2926.0	cpWqOw	eeVQAD	TuCZEm	7127.0	3970.0
wLOZRO	602.0	517.0	6206.0	4091.0	IrOLwQ	uHjRAr	pfmxrL	3217.0	4535.0
eeVQAD	800.0	6306.0	888.0	1675.0	eeVQAD	JqymVN	TuCZEm	1029.0	176.0
pfmxrL	1147.0	1833.0	115.0	889.0	MdNHJO	gkygIZ	JqymVN	3016.0	1051.0
xuoBel	1721.0	539.0	4694.0	2973.0	uHjRAr	jithza	IrOLwQ	2072.0	772.0
WstBYV	43.0	5.0	5679.0	7022.0	rIaMwY	ZigqKk	SYnotp	5035.0	4630.0
DPIKud	4878.0	3810.0	830.0	1649.0	jithza	WstBYV	SYnotp	3252.0	6329.0
DJwYdl	7809.0	1558.0	202.0	2228.0	cpWqOw	ReOawA	uHjRAr	1774.0	1590.0
uHjRAr	6291.0	800.0	3134.0	2810.0	HEBbwK	xuoBel	FElhOR	9199.0	198.0
eeVQAD	1808.0	97.0	4713.0	914.0	NwlieP	gkygIZ	SYnotp	5190.0	2175.0
eeVQAD	871.0	4338.0	772.0	2308.0	epcVJK	epcVJK	JqymVN	2025.0	1483.0
ReOawA	2017.0	1781.0	890.0	5840.0	SYnotp	OhryCL	OhryCL	5259.0	5356.0
gkygIZ	835.0	6779.0	262.0	2238.0	OhryCL	KVGcIg	NwlieP	1042.0	4806.0
KVGcIg	369.0	1452.0	4799.0	922.0	epcVJK	wLOZRO	xuoBel	3778.0	2959.0
eeVQAD	504.0	1441.0	821.0	412.0	xuoBel	wLOZRO	cpWqOw	5786.0	70.0
ZigqKk	970.0	2283.0	3102.0	3091.0	ReOawA	jithza	ZigqKk	2225.0	3932.0
StAyqw	1431.0	946.0	449.0	4236.0	StAyqw	ReOawA	epcVJK	1414.0	629.0
MdNHJO	433.0	2681.0	2153.0	329.0	CBcUxf	wLOZRO	CBcUxf	7004.0	4728.0
MdNHJO	479.0	4978.0	194.0	1903.0	xuoBel	JqymVN	ReOawA	7119.0	6609.0
jithza	8372.0	498.0	78.0	1236.0	StAyqw	KVGcIg	cpWqOw	473.0	665.0
uHjRAr	5444.0	1984.0	42.0	4723.0	WstBYV	eeVQAD	uHjRAr	1357.0	338.0
IrOLwQ	595.0	3819.0	1179.0	1904.0	SYnotp	OhryCL	xuoBel	1408.0	1196.0
AWvgct	130.0	617.0	1930.0	21.0	IrOLwQ	KVGcIg	cpWqOw	4772.0	652.0
ZigqKk	79.0	4181.0	4511.0	2108.0	pfmxrL	KVGcIg	FElhOR	6257.0	3954.0
cpWqOw	4026.0	1132.0	41.0	960.0	uHjRAr	TuCZEm	HEBbwK	2952.0	2133.0
epcVJK	7237.0	2169.0	27.0	5074.0	SYnotp	wLOZRO	WstBYV	699.0	3510.0
HEBbwK	2386.0	29.0	1172.0	2880.0	epcVJK	JqymVN	UPpvkc	84.0	4637.0
wLOZRO	3428.0	237.0	6906.0	531.0	StAyqw	uHjRAr	KVGcIg	3242.0	18.0
gkygIZ	57.0	997.0	6362.0	4079.0	DJwYdl	ZigqKk	SYnotp	483.0	2961.0
jithza	54.0	2045.0	909.0	2101.0	eeVQAD	OhryCL	AWvgct	3554.0	4284.0
ReOawA	1360.0	109.0	2967.0	2361.0	cpWqOw	UPpvkc	SYnotp	1067.0	505.0
NwlieP	1558.0	64.0	1994.0	2890.0	OhryCL	ZigqKk	uHjRAr	1336.0	118.0
MdNHJO	68.0	4716.0	1349.0	546.0	MdNHJO	OhryCL	HEBbwK	2465.0	7848.0
OhryCL	2415.0	537.0	2505.0	1292.0	cpWqOw	gkygIZ	uHjRAr	840.0	2862.0
SYnotp	3940.0	1910.0	1938.0	1100.0	jithza	HEBbwK	TuCZEm	2542.0	469.0
WstBYV	3962.0	2194.0	439.0	478.0	WstBYV	UPpvkc	ZigqKk	758.0	5602.0
ZigqKk	698.0	7186.0	2164.0	1405.0	FElhOR	pfmxrL	ZigqKk	1919.0	3179.0
TuCZEm	2471.0	1333.0	5056.0	702.0	epcVJK	eeVQAD	IrOLwQ	1960.0	3516.0
eeVQAD	332.0	1070.0	841.0	2229.0	NwlieP	MdNHJO	HEBbwK	5642.0	8163.0
gkygIZ	2714.0	417.0	991.0	329.0	epcVJK	SYnotp	rIaMwY	129.0	2847.0
UPpvkc	2372.0	1393.0	1651.0	1499.0	HEBbwK	TuCZEm	wLOZRO	4615.0	5839.0
MdNHJO	5579.0	3411.0	4266.0	177.0	NwlieP	eeVQAD	xuoBel	1139.0	5747.0
UPpvkc	1235.0	2311.0	1513.0	2872.0	eeVQAD	cpWqOw	WstBYV	3838.0	6993.0
wLOZRO	4231.0	334.0	1867.0	877.0	DJwYdl	TuCZEm	ReOawA	2970.0	916.0
LHTxOM	647.0	3061.0	3338.0	2419.0	jithza	uHjRAr	xuoBel	1473.0	1727.0
ReOawA	3983.0	5043.0	1018.0	2257.0	cpWqOw	TuCZEm	OhryCL	1058.0	575.0
DPIKud	3849.0	3424.0	30.0	233.0	FElhOR	JqymVN	LHTxOM	1061.0	4086.0
DPIKud	297.0	8911.0	7992.0	399.0	epcVJK	ZigqKk	IrOLwQ	2123.0	1152.0
StAyqw	737.0	251.0	740.0	3717.0	UPpvkc	ReOawA	wLOZRO	1677.0	934.0
gkygIZ	143.0	6621.0	3177.0	4656.0	CBcUxf	OhryCL	FElhOR	1789.0	3587.0
gkygIZ	1285.0	4604.0	1035.0	819.0	DJwYdl	IrOLwQ	uHjRAr	1301.0	2156.0
IrOLwQ	1852.0	141.0	5358.0	784.0	ZigqKk	pfmxrL	KVGcIg	1947.0	1331.0
OhryCL	90.0	2891.0	9.0	482.0	SYnotp	wLOZRO	xuoBel	482.0	386.0
StAyqw	1243.0	210.0	149.0	2806.0	NwlieP	UPpvkc	KVGcIg	3866.0	2865.0
IrOLwQ	2744.0	5206.0	1154.0	1404.0	StAyqw	DJwYdl	wLOZRO	1699.0	2019.0
ZigqKk	254.0	3188.0	3789.0	120.0	gkygIZ	CBcUxf	xuoBel	2505.0	6056.0
SYnotp	4397.0	1611.0	6417.0	2061.0	OhryCL	StAyqw	CBcUxf	2419.0	406.0
HEBbwK	147.0	7777.0	1984.0	101.0	ZigqKk	UPpvkc	wLOZRO	2574.0	595.0
LHTxOM	246.0	540.0	1294.0	3140.0	cpWqOw	WstBYV	UPpvkc	263.0	579.0
HEBbwK	3382.0	4109.0	1969.0	1886.0	NwlieP	epcVJK	KVGcIg	3474.0	5103.0
KVGcIg	7403.0	1724.0	2241.0	37.0	StAyqw	cpWqOw	MdNHJO	8127.0	7.0
gkygIZ	2390.0	1648.0	851.0	2611.0	wLOZRO	epcVJK	ReOawA	1090.0	39.0
eeVQAD	1792.0	1061.0	795.0	335.0	cpWqOw	pfmxrL	StAyqw	1144.0	812.0
xuoBel	2145.0	112.0	32.0	1007.0	rIaMwY	epcVJK	ZigqKk	809.0	921.0
KVGcIg	3368.0	2416.0	812.0	6835.0	eeVQAD	cpWqOw	FElhOR	2636.0	708.0
SYnotp	5386.0	3860.0	906.0	1.0	MdNHJO	CBcUxf	CBcUxf	2724.0	5659.0
NwlieP	4010.0	955.0	370.0	1027.0	JqymVN	gkygIZ	StAyqw	1138.0	6631.0
WstBYV	1282.0	6410.0	198.0	4391.0	FElhOR	xuoBel	gkygIZ	404.0	2953.0
SYnotp	3081.0	517.0	6459.0	6658.0	MdNHJO	WstBYV	TuCZEm	3379.0	1153.0
epcVJK	945.0	650.0	361.0	2188.0	AWvgct	LHTxOM	KVGcIg	4399.0	213.0
wLOZRO	1165.0	1451.0	273.0	2999.0	gkygIZ	xuoBel	SYnotp	810.0	8060.0
KVGcIg	7823.0	4.0	5020.0	2538.0	pfmxrL	UPpvkc	WstBYV	3889.0	5045.0
DPIKud	724.0	1944.0	392.0	1342.0	xuoBel	gkygIZ	HEBbwK	250.0	282.0
SYnotp	1567.0	4473.0	172.0	5525.0	uHjRAr	FElhOR	xuoBel	1886.0	1532.0
FElhOR	4056.0	3183.0	1998.0	3362.0	ZigqKk	AWvgct	pfmxrL	6435.0	440.0
DPIKud	147.0	29.0	2913.0	232.0	rIaMwY	eeVQAD	eeVQAD	4.0	276.0
JqymVN	630.0	113.0	2543.0	1281.0	WstBYV	ReOawA	DPIKud	4975.0	16.0
IrOLwQ	1549.0	1152.0	2403.0	758.0	cpWqOw	WstBYV	eeVQAD	152.0	1843.0
HEBbwK	925.0	2302.0	5819.0	302.0	AWvgct	eeVQAD	WstBYV	1866.0	3583.0
JqymVN	7773.0	7.0	48.0	2990.0	uHjRAr	FElhOR	epcVJK	671.0	466.0
ReOawA	266.0	841.0	2763.0	154.0	gkygIZ	WstBYV	uHjRAr	1774.0	2715.0
UPpvkc	320.0	2673.0	3728.0	1161.0	DJwYdl	uHjRAr	rIaMwY	177.0	190.0
xuoBel	1301.0	9129.0	437.0	102.0	NwlieP	StAyqw	IrOLwQ	97.0	8962.0
JqymVN	340.0	1531.0	341.0	6028.0	DPIKud	LHTxOM	jithza	4779.0	3408.0
UPpvkc	2043.0	194.0	5500.0	1535.0	wLOZRO	JqymVN	WstBYV	2102.0	4213.0
epcVJK	4648.0	3716.0	227.0	1182.0	epcVJK	rIaMwY	MdNHJO	944.0	4054.0
AWvgct	1994.0	3193.0	655.0	5626.0	LHTxOM	UPpvkc	SYnotp	1016.0	231.0
UPpvkc	1283.0	453.0	3510.0	4936.0	OhryCL	jithza	xuoBel	3208.0	4911.0
rIaMwY	4441.0	2846.0	2975.0	326.0	UPpvkc	DPIKud	JqymVN	763.0	993.0
HEBbwK	6456.0	619.0	2080.0	6169.0	ZigqKk	HEBbwK	HEBbwK	230.0	326.0
jithza	1708.0	670.0	2113.0	915.0	eeVQAD	pfmxrL	FElhOR	1711.0	2169.0
TuCZEm	1742.0	1603.0	2107.0	3676.0	OhryCL	OhryCL	cpWqOw	452.0	6181.0
uHjRAr	7542.0	1731.0	3327.0	933.0	xuoBel	IrOLwQ	DPIKud	1400.0	905.0
FElhOR	339.0	7914.0	1751.0	2886.0	FElhOR	rIaMwY	MdNHJO	1150.0	4202.0
SYnotp	3110.0	3127.0	85.0	543.0	eeVQAD	NwlieP	JqymVN	456.0	9711.0
rIaMwY	368.0	557.0	694.0	2633.0	rIaMwY	epcVJK	uHjRAr	1502.0	252.0
pfmxrL	3775.0	341.0	6698.0	3582.0	StAyqw	WstBYV	cpWqOw	1483.0	2001.0
wLOZRO	359.0	4450.0	3713.0	4004.0	LHTxOM	StAyqw	rIaMwY	5794.0	2007.0
IrOLwQ	6185.0	3135.0	2634.0	1435.0	uHjRAr	ReOawA	epcVJK	199.0	4955.0
epcVJK	498.0	6909.0	1236.0	2712.0	uHjRAr	SYnotp	CBcUxf	3173.0	348.0
uHjRAr	70.0	8677.0	296.0	579.0	KVGcIg	TuCZEm	OhryCL	5967.0	1002.0
rIaMwY	294.0	259.0	1270.0	1308.0	jithza	eeVQAD	xuoBel	3678.0	2826.0
ZigqKk	659.0	2929.0	6225.0	7283.0	DJwYdl	HEBbwK	wLOZRO	3396.0	4875.0
HEBbwK	57.0	4098.0	718.0	1077.0	CBcUxf	jithza	uHjRAr	1895.0	2003.0
UPpvkc	4288.0	7466.0	4302.0	5209.0	xuoBel	StAyqw	DPIKud	3245.0	652.0
JqymVN	1087.0	459.0	1003.0	732.0	ReOawA	jithza	rIaMwY	1427.0	2629.0
cpWqOw	135.0	4145.0	5880.0	1208.0	gkygIZ	MdNHJO	ReOawA	2479.0	196.0
rIaMwY	2218.0	2161.0	1888.0	2405.0	CBcUxf	eeVQAD	DPIKud	2362.0	60.0
HEBbwK	458.0	1460.0	240.0	2265.0	HEBbwK	CBcUxf	epcVJK	2357.0	343.0
StAyqw	4722.0	2.0	118.0	6055.0	DJwYdl	WstBYV	HEBbwK	164.0	489.0
ZigqKk	4044.0	2587.0	3074.0	2289.0	rIaMwY	StAyqw	cpWqOw	6608.0	5776.0
KVGcIg	7276.0	246.0	53.0	248.0	eeVQAD	DJwYdl	StAyqw	1175.0	4709.0
KVGcIg	4465.0	1159.0	808.0	6180.0	TuCZEm	StAyqw	KVGcIg	62.0	148.0
CBcUxf	868.0	2511.0	3534.0	148.0	pfmxrL	MdNHJO	gkygIZ	163.0	1298.0
jithza	4910.0	71.0	5453.0	113.0	wLOZRO	xuoBel	cpWqOw	973.0	2817.0
gkygIZ	4694.0	4811.0	1435.0	60.0	AWvgct	NwlieP	ReOawA	522.0	960.0
pfmxrL	1359.0	2900.0	336.0	6801.0	pfmxrL	MdNHJO	JqymVN	87.0	5234.0
xuoBel	7089.0	211.0	4593.0	7251.0	LHTxOM	gkygIZ	eeVQAD	2713.0	4025.0
HEBbwK	3740.0	2591.0	3322.0	2557.0	IrOLwQ	CBcUxf	AWvgct	875.0	2337.0
cpWqOw	5601.0	5541.0	4681.0	1541.0	NwlieP	HEBbwK	StAyqw	433.0	1366.0
ReOawA	395.0	1313.0	1085.0	3559.0	MdNHJO	ZigqKk	MdNHJO	12.0	1251.0
DPIKud	3972.0	2455.0	47.0	1834.0	SYnotp	xuoBel	jithza	3374.0	5944.0
KVGcIg	3136.0	2560.0	736.0	5863.0	FElhOR	FElhOR	KVGcIg	8178.0	3775.0
DPIKud	126.0	189.0	7221.0	3059.0	KVGcIg	gkygIZ	UPpvkc	2488.0	2555.0
DPIKud	1967.0	3160.0	21.0	9405.0	KVGcIg	CBcUxf	ReOawA	3624.0	1165.0
HEBbwK	3467.0	976.0	1935.0	88.0	cpWqOw	rIaMwY	rIaMwY	8615.0	6504.0
WstBYV	3275.0	2329.0	4901.0	2216.0	WstBYV	JqymVN	OhryCL	1605.0	2159.0
rIaMwY	522.0	1474.0	5028.0	4762.0	NwlieP	SYnotp	MdNHJO	2809.0	7063.0
gkygIZ	5411.0	3270.0	3775.0	553.0	CBcUxf	OhryCL	eeVQAD	6494.0	4.0
IrOLwQ	599.0	1496.0	1867.0	1890.0	StAyqw	wLOZRO	rIaMwY	51.0	541.0
TuCZEm	1921.0	7507.0	2832.0	7564.0	DJwYdl	pfmxrL	DPIKud	3792.0	7344.0
CBcUxf	3423.0	2034.0	45.0	764.0	HEBbwK	OhryCL	StAyqw	3535.0	1191.0
JqymVN	510.0	695.0	1369.0	84.0	TuCZEm	HEBbwK	epcVJK	698.0	5980.0
OhryCL	224.0	896.0	3092.0	1209.0	AWvgct	DPIKud	IrOLwQ	2576.0	2276.0
FElhOR	2892.0	1191.0	1669.0	1036.0	rIaMwY	xuoBel	uHjRAr	2850.0	300.0
xuoBel	104.0	1088.0	203.0	5955.0	FElhOR	HEBbwK	FElhOR	66.0	1305.0
ZigqKk	469.0	2523.0	1842.0	769.0	DPIKud	HEBbwK	KVGcIg	622.0	1290.0
WstBYV	4248.0	2345.0	1883.0	557.0	wLOZRO	epcVJK	HEBbwK	766.0	3718.0
JqymVN	253.0	450.0	5752.0	1351.0	LHTxOM	FElhOR	jithza	448.0	521.0
rIaMwY	1695.0	1647.0	2057.0	2770.0	ReOawA	ZigqKk	CBcUxf	76.0	3015.0
MdNHJO	895.0	145.0	415.0	691.0	gkygIZ	xuoBel	eeVQAD	374.0	3199.0
xuoBel	1703.0	2479.0	419.0	2115.0	UPpvkc	IrOLwQ	CBcUxf	996.0	3579.0
TuCZEm	3861.0	2298.0	7270.0	3484.0	pfmxrL	gkygIZ	gkygIZ	76.0	7538.0
UPpvkc	2418.0	6983.0	2701.0	82.0	AWvgct	StAyqw	KVGcIg	1751.0	1404.0
jithza	1282.0	167.0	1677.0	2595.0	DPIKud	KVGcIg	eeVQAD	723.0	4694.0
NwlieP	4669.0	5345.0	79.0	2767.0	pfmxrL	jithza	wLOZRO	3836.0	3027.0
pfmxrL	2164.0	1401.0	1086.0	2750.0	DJwYdl	cpWqOw	MdNHJO	1029.0	1826.0
DJwYdl	518.0	5137.0	414.0	5835.0	UPpvkc	JqymVN	epcVJK	1547.0	2096.0
jithza	2976.0	368.0	2470.0	5766.0	cpWqOw	eeVQAD	IrOLwQ	3232.0	737.0
wLOZRO	6857.0	1593.0	34.0	1220.0	uHjRAr	SYnotp	DPIKud	8592.0	50.0
WstBYV	2959.0	116.0	1079.0	1280.0	ReOawA	WstBYV	IrOLwQ	3660.0	1234.0
DJwYdl	3248.0	2433.0	1356.0	4167.0	CBcUxf	ZigqKk	MdNHJO	1392.0	3193.0
TuCZEm	1584.0	1046.0	278.0	4412.0	AWvgct	IrOLwQ	uHjRAr	2262.0	2130.0
xuoBel	3564.0	1509.0	6630.0	2825.0	cpWqOw	FElhOR	DJwYdl	6978.0	489.0
WstBYV	160.0	3913.0	58.0	1734.0	wLOZRO	UPpvkc	xuoBel	1569.0	1980.0
eeVQAD	1921.0	1129.0	2998.0	3377.0	SYnotp	JqymVN	CBcUxf	4220.0	5672.0
eeVQAD	532.0	1335.0	756.0	5373.0	NwlieP	HEBbwK	WstBYV	961.0	2330.0
AWvgct	3020.0	430.0	4908.0	27.0	UPpvkc	TuCZEm	epcVJK	74.0	1700.0
rIaMwY	596.0	1040.0	51.0	530.0	cpWqOw	IrOLwQ	UPpvkc	1174.0	1073.0
ZigqKk	4946.0	2380.0	1209.0	1075.0	SYnotp	WstBYV	OhryCL	353.0	4819.0
UPpvkc	3031.0	9238.0	4578.0	4062.0	NwlieP	DJwYdl	gkygIZ	190.0	2151.0
UPpvkc	355.0	5014.0	1937.0	3214.0	OhryCL	SYnotp	MdNHJO	934.0	1615.0
wLOZRO	254.0	1960.0	1834.0	303.0	AWvgct	gkygIZ	DJwYdl	2880.0	4736.0
IrOLwQ	1170.0	82.0	44.0	6205.0	SYnotp	IrOLwQ	AWvgct	4414.0	203.0
uHjRAr	286.0	1705.0	3527.0	5359.0	JqymVN	OhryCL	OhryCL	3184.0	34.0
AWvgct	1063.0	3614.0	4084.0	1757.0	WstBYV	SYnotp	IrOLwQ	1824.0	3990.0
ReOawA	8156.0	277.0	2757.0	4463.0	DJwYdl	LHTxOM	uHjRAr	1861.0	1843.0
StAyqw	1943.0	2466.0	2499.0	4583.0	IrOLwQ	CBcUxf	ZigqKk	2272.0	231.0
UPpvkc	431.0	3013.0	4580.0	5725.0	cpWqOw	AWvgct	LHTxOM	1083.0	378.0
cpWqOw	6318.0	1841.0	5893.0	47.0	DPIKud	LHTxOM	StAyqw	5540.0	447.0
uHjRAr	666.0	1820.0	1144.0	3534.0	cpWqOw	LHTxOM	ReOawA	936.0	1201.0
WstBYV	243.0	1631.0	4099.0	3470.0	UPpvkc	JqymVN	IrOLwQ	61.0	6032.0
JqymVN	354.0	131.0	1539.0	1323.0	ReOawA	DPIKud	AWvgct	344.0	761.0
xuoBel	3420.0	3687.0	257.0	1385.0	OhryCL	WstBYV	TuCZEm	767.0	5520.0
UPpvkc	4048.0	7647.0	365.0	6062.0	ZigqKk	FElhOR	eeVQAD	691.0	8.0
KVGcIg	1376.0	835.0	1106.0	501.0	NwlieP	jithza	ZigqKk	1780.0	1347.0
jithza	1212.0	102.0	2144.0	2434.0	ReOawA	IrOLwQ	LHTxOM	3242.0	140.0
wLOZRO	1810.0	17.0	5365.0	850.0	StAyqw	DJwYdl	xuoBel	1536.0	5066.0
FElhOR	1281.0	2213.0	1575.0	1841.0	cpWqOw	jithza	JqymVN	3787.0	1937.0
IrOLwQ	4830.0	1196.0	1570.0	54.0	MdNHJO	IrOLwQ	xuoBel	4272.0	5443.0
pfmxrL	1288.0	1209.0	2415.0	7793.0	WstBYV	KVGcIg	KVGcIg	2181.0	334.0
DPIKud	6088.0	1841.0	4922.0	4307.0	ReOawA	SYnotp	jithza	215.0	2352.0
JqymVN	4359.0	4833.0	1144.0	1909.0	xuoBel	IrOLwQ	TuCZEm	220.0	357.0
AWvgct	952.0	1467.0	840.0	4.0	NwlieP	ZigqKk	eeVQAD	4207.0	2094.0
uHjRAr	6.0	504.0	1888.0	376.0	UPpvkc	eeVQAD	pfmxrL	2965.0	2162.0
cpWqOw	351.0	299.0	597.0	3913.0	DPIKud	NwlieP	TuCZEm	2455.0	1755.0
JqymVN	377.0	999.0	1130.0	2470.0	HEBbwK	cpWqOw	DJwYdl	1195.0	1356.0
gkygIZ	3779.0	917.0	2249.0	3825.0	OhryCL	DPIKud	FElhOR	36.0	1413.0
xuoBel	657.0	1449.0	8898.0	4774.0	DPIKud	AWvgct	HEBbwK	262.0	1094.0
eeVQAD	330.0	3807.0	954.0	1266.0	gkygIZ	rIaMwY	DPIKud	3956.0	4873.0
KVGcIg	6044.0	2663.0	347.0	2575.0	WstBYV	jithza	eeVQAD	2686.0	884.0
ReOawA	192.0	7547.0	1610.0	7855.0	CBcUxf	HEBbwK	eeVQAD	302.0	855.0
AWvgct	620.0	2462.0	3878.0	6489.0	DJwYdl	StAyqw	NwlieP	7335.0	460.0
gkygIZ	420.0	6526.0	3979.0	687.0	gkygIZ	LHTxOM	ReOawA	965.0	3759.0
pfmxrL	4572.0	3283.0	984.0	6043.0	rIaMwY	MdNHJO	JqymVN	6325.0	1748.0
DJwYdl	2677.0	2068.0	7556.0	4510.0	gkygIZ	WstBYV	UPpvkc	940.0	449.0
